,source_id_lattes,target_id_lattes,academic_degree,start_year,conclusion_year,course,institution,thesis,major_area,area
1074324,8391182235603982,4144728642626556,doutorado,2008.0,2012,fitotecnia,universidade federal rural do rio de janeiro,análise proteômica de estirpes selvagem pal5 e mutante lao de gluconacetobacter diazotrophicus na presença e ausência de triptofano e o efeito de sua inoculação em plantas micropropagadas de cana de açúcar,ciencias biologicas,
1229592,5701058418861895,8362549925056592,mestrado,2013.0,2016,direito processual,universidade de são paulo,,,
603417,10554718,5170190691935248,mestrado,2009.0,2011,arquitetura e urbanismo,universidade de brasília,entropia teritorial novos pólos de desenvolvimeto regional o caso rio verde,ciencias sociais aplicadas,
1010462,3620209642728740,7102868220438579,mestrado,2013.0,2015,engenharia do meio ambiente,universidade federal de goiás,análise dos parâmetros do modelo hidrossedimentológico swat na bacia hidrográfica do córrego samambaia goiânia go,engenharias,
1039926,3856682353780970,6266364843206392,mestrado,2003.0,2006,arquitetura e urbanismo,universidade de são paulo,percepções e intervenções na metrópole a experiência do projeto arte cidade em são paulo 1994 2002,linguistica letras e artes,
1281064,6385098389900462,9006772044866641,doutorado,2008.0,2012,química,instituto militar de engenharia,síntese e modificação de copolímeros epoxidados empregando diferentes agentes reticulantes e sua avaliação na extração de organo fosforado,ciencias exatas e da terra,
715743,4422797300106230,1610243215800319,doutorado,2012.0,2016,engenharia civil,universidade do estado do rio de janeiro,monitoração experimental e modelagem numérica sobre a resposta estrutural dinâmica de passarelas de pedestres,engenharias,
868387,2577657690021566,4298068496605872,doutorado,2008.0,2012,biotecnologia industrial,rede nordeste de biotecnologia renorbio,desenvolvimento de biocatalisadores utilizando lipase de rhizomucor miehei rml imobilizada em suporte quitosana e sua aplicação na síntese dos ésteres butirato de metila e butirato de etila,,
924631,6736575837409659,2979583202594058,doutorado,2012.0,2016,ciências biológicas,universidade federal de pernambuco,filogenia molecular de hymenochaetaceae basidiomycota baseada em sequências do dna ribossomal,ciencias biologicas,
630797,1200247772482237,1115332772655637,mestrado,2008.0,2010,programa de pós graduação em saúde pública,universidade de são paulo,culicídeos associados às bromélias na mata atlântica do município de cananéia são paulo brasil,ciencias biologicas,
98989,410138491087637,8968174277045741,mestrado,2014.0,2016,psicologia,universidade federal de alagoas,donatio presentear ou estar presente sentidos produzidos sobre doação de órgãos,,
110077,455487141833418,10020611,mestrado,,1981,computação,universidade federal do rio grande do sul,um pré processador de álgebra relacional para cobol,ciencias exatas e da terra,
1100595,4371106262063395,8685055583736571,mestrado,2014.0,2016,sociedade e fronteiras,universidade federal de roraima,mobilidade humana e trabalho a situação de brasileiros em lethem gy,ciencias humanas,
